Test_Date	County	Total_Number_of_Tests_Performed		
8/22/2023	Essex	18		
8/22/2023	Finger Lakes	273		
8/22/2023	Franklin	26		
8/22/2023	Fulton	19		
8/22/2023	Genesee	12		
8/22/2023	Greene	10		
8/22/2023	Hamilton	1		
8/22/2023	Herkimer	14		
8/22/2023	Jefferson	67		
8/22/2023	Kings	1672		
8/22/2023	Lewis	9		
8/22/2023	Livingston	4		
8/22/2023	Long Island	1536		
8/22/2023	Madison	22		
8/22/2023	Mid-Hudson	1403		
8/22/2023	Mohawk Valley	210		
8/22/2023	Monroe	178		
8/22/2023	Montgomery	13		
8/22/2023	Nassau	868		
8/22/2023	New York	856		
8/22/2023	New York City	5279		
8/22/2023	Niagara	26		
8/22/2023	North Country	239		
8/22/2023	Oneida	151		
8/22/2023	Onondaga	255		
8/22/2023	Ontario	23		
8/22/2023	Orange	279		
8/22/2023	Orleans	4		
8/22/2023	Oswego	97		
8/22/2023	Otsego	12		
8/22/2023	Putnam	60		
8/22/2023	Queens	1398		
8/22/2023	Rensselaer	39		
8/22/2023	Richmond	226		
8/22/2023	Rockland	168		
8/22/2023	STATEWIDE	10052		
8/22/2023	Saratoga	85		
8/22/2023	Schenectady	29		
8/22/2023	Schoharie	1		
8/22/2023	Schuyler	4		
8/22/2023	Seneca	19		
8/22/2023	Southern Tier	224		
8/22/2023	St. Lawrence	80		
8/22/2023	Steuben	41		
8/22/2023	Suffolk	668		
8/22/2023	Sullivan	47		
8/22/2023	Tioga	9		
8/22/2023	Tompkins	22		
8/22/2023	Ulster	76		
8/22/2023	Warren	33		
8/22/2023	Washington	34		
8/22/2023	Wayne	29		
8/22/2023	Westchester	668		
8/22/2023	Western New York	176		
8/22/2023	Wyoming	4		
8/22/2023	Yates	0		
8/21/2023	Albany	71		
8/21/2023	Allegany	1		
8/21/2023	Bronx	600		
8/21/2023	Broome	26		
8/21/2023	Capital Region	229		
8/21/2023	Cattaraugus	2		
8/21/2023	Cayuga	19		
8/21/2023	Central New York	328		
8/21/2023	Chautauqua	22		
8/21/2023	Chemung	23		
8/21/2023	Chenango	53		
8/21/2023	Clinton	15		
8/21/2023	Columbia	1		
8/21/2023	Cortland	11		
8/21/2023	Delaware	14		
8/21/2023	Dutchess	69		
8/21/2023	Erie	91		
8/21/2023	Essex	6		
8/21/2023	Finger Lakes	194		
8/21/2023	Franklin	6		
8/21/2023	Fulton	8		
8/21/2023	Genesee	7		
8/21/2023	Greene	6		
8/21/2023	Hamilton	0		
8/21/2023	Herkimer	14		
8/21/2023	Jefferson	47		
8/21/2023	Kings	929		
8/21/2023	Lewis	10		
8/21/2023	Livingston	2		
8/21/2023	Long Island	978		
8/21/2023	Madison	34		
8/21/2023	Mid-Hudson	889		
8/21/2023	Mohawk Valley	141		
8/21/2023	Monroe	121		
8/21/2023	Montgomery	7		
8/21/2023	Nassau	606		
8/21/2023	New York	543		
8/21/2023	New York City	3068		
8/21/2023	Niagara	20		
8/21/2023	North Country	130		
8/21/2023	Oneida	104		
8/21/2023	Onondaga	191		
8/21/2023	Ontario	16		
8/21/2023	Orange	156		
8/21/2023	Orleans	4		
8/21/2023	Oswego	73		
8/21/2023	Otsego	7		
8/21/2023	Putnam	30		
8/21/2023	Queens	822		
8/21/2023	Rensselaer	32		
8/21/2023	Richmond	174		
8/21/2023	Rockland	128		
8/21/2023	STATEWIDE	6246		
8/21/2023	Saratoga	59		
8/21/2023	Schenectady	35		
8/21/2023	Schoharie	1		
8/21/2023	Schuyler	3		
8/21/2023	Seneca	11		
8/21/2023	Southern Tier	153		
8/21/2023	St. Lawrence	46		
8/21/2023	Steuben	18		
8/21/2023	Suffolk	372		
8/21/2023	Sullivan	24		
8/21/2023	Tioga	4		
8/21/2023	Tompkins	12		
8/21/2023	Ulster	22		
8/21/2023	Warren	18		
8/21/2023	Washington	7		
8/21/2023	Wayne	28		
8/21/2023	Westchester	460		
8/21/2023	Western New York	136		
8/21/2023	Wyoming	3		
8/21/2023	Yates	2		
8/20/2023	Albany	53		
8/20/2023	Allegany	0		
8/20/2023	Bronx	535		
8/20/2023	Broome	10		
8/20/2023	Capital Region	166		
8/20/2023	Cattaraugus	1		
8/20/2023	Cayuga	14		
8/20/2023	Central New York	251		
8/20/2023	Chautauqua	13		
8/20/2023	Chemung	20		
8/20/2023	Chenango	3		
8/20/2023	Clinton	17		
8/20/2023	Columbia	5		
8/20/2023	Cortland	13		
8/20/2023	Delaware	7		
8/20/2023	Dutchess	60		
8/20/2023	Erie	40		
8/20/2023	Essex	14		
8/20/2023	Finger Lakes	160		
8/20/2023	Franklin	8		
8/20/2023	Fulton	4		
8/20/2023	Genesee	15		
8/20/2023	Greene	11		
8/20/2023	Hamilton	0		
8/20/2023	Herkimer	4		
8/20/2023	Jefferson	29		
8/20/2023	Kings	769		
8/20/2023	Lewis	13		
8/20/2023	Livingston	0		
8/20/2023	Long Island	946		
8/20/2023	Madison	16		
8/20/2023	Mid-Hudson	796		
8/20/2023	Mohawk Valley	60		
8/20/2023	Monroe	95		
8/20/2023	Montgomery	12		
8/20/2023	Nassau	499		
8/20/2023	New York	439		
8/20/2023	New York City	2575		
8/20/2023	Niagara	6		
8/20/2023	North Country	116		
8/20/2023	Oneida	35		
8/20/2023	Onondaga	153		
8/20/2023	Ontario	9		
8/20/2023	Orange	129		
8/20/2023	Orleans	3		
8/20/2023	Oswego	55		
8/20/2023	Otsego	3		
8/20/2023	Putnam	39		
8/20/2023	Queens	669		
8/20/2023	Rensselaer	17		
8/20/2023	Richmond	163		
8/20/2023	Rockland	114		
8/20/2023	STATEWIDE	5284		
8/20/2023	Saratoga	49		
8/20/2023	Schenectady	13		
8/20/2023	Schoharie	2		
8/20/2023	Schuyler	2		
8/20/2023	Seneca	17		
